time_ms,CP_pre,CP_pre_sem,CP_post,CP_post_sem,CP_pre_s1,CP_pre_s2,CP_pre_s3,CP_pre_s4,CP_pre_s5,CP_post_s1,CP_post_s2,CP_post_s3,CP_post_s4,CP_post_s5
-200.0,0.5028401874226573,0.005432751007293981,0.5000912688933002,0.004013140652813634,0.4992010769215897,0.5194449463013148,0.5113031077576338,0.49187919640148264,0.49237260973126606,0.5134629471544715,0.48837664449371754,0.4976849729103649,0.5004860320248632,0.5004457478830844
-180.0,0.5037874075646418,0.003419233079177894,0.49908547021943717,0.004094684565289405,0.49886006786346115,0.5130093923273689,0.5108663604048658,0.5003038425516758,0.4958973746758377,0.5105407520325204,0.48580793298842073,0.49654762702454347,0.49882969529085874,0.5037013437608425
-160.0,0.5024527767526072,0.0027056493704638034,0.499180233505127,0.003899287263001046,0.4955132488423576,0.508862123189133,0.5072792215251151,0.5038153781213313,0.49679391208509954,0.508255650406504,0.4858235033259423,0.497486766282498,0.49880558881156667,0.5055296586991245
-140.0,0.5013495468941918,0.0022492325987561743,0.4980837933900206,0.003191937386276269,0.49725488433243437,0.5085886872336738,0.5034485943552287,0.5013599176878736,0.496095650861748,0.5042274390243904,0.48620389258438035,0.500332960810966,0.4972049131815418,0.5024497613488246
-120.0,0.5010846559754604,0.0017692608293122616,0.4984230551314691,0.0029585804890712108,0.49703273300271644,0.5075521398872799,0.4995161646999804,0.5015387091242466,0.49978353316307844,0.5043310975609756,0.48836186252771613,0.5033712955163303,0.4953674805756368,0.5006835394766865
-100.0,0.501242890043798,0.002350569056072448,0.4991913250391688,0.003885814140431265,0.4939982792455748,0.5076464433555671,0.4984197172378926,0.5041543616193327,0.5019956487606226,0.5097029674796748,0.4871576250307958,0.5031260529540146,0.49422374704411864,0.5017462326872404
-80.0,0.5019540226043271,0.0023246460271664263,0.5031729215945044,0.0027780081529286977,0.49554592384211593,0.5096770931233443,0.49988850799346424,0.5035171549552164,0.5011414331074941,0.5132393089430894,0.4975664942103966,0.5035442073170733,0.4985466333355854,0.5029679641663775
-60.0,0.5030052763576309,0.002098467757573142,0.5055946562987773,0.002064718765619837,0.5003119399089353,0.5112616073411015,0.500069952091569,0.501152079568389,0.5022308028781597,0.5085624593495937,0.512170879526977,0.5036048718267795,0.5012199662184986,0.5024151045720376
-40.0,0.5034173934390823,0.0015231070319112283,0.5071432822439774,0.003941054031672704,0.5020875071295303,0.5091599828456195,0.5007690979290211,0.5037763853895975,0.5012939939016431,0.5083438821138212,0.522011332840601,0.502934176015622,0.50099351124924,0.5014335090006032
-20.0,0.5039041014717369,0.0022638877306956724,0.5074976005831789,0.004738885542162307,0.5019688040756745,0.5101697188689058,0.5009461661143378,0.5082083657613212,0.4982274525384459,0.5099363008130081,0.5249164818920916,0.4990157033732818,0.5005586865752315,0.5030608302622819
0.0,0.5046045900432667,0.00298297347051542,0.5064467452046014,0.004587305046331454,0.5052215713001362,0.5143005483926893,0.49887313994403515,0.5067985859198775,0.49782910465959546,0.5064442886178862,0.5232384331116039,0.495976746467818,0.5011285021282346,0.5054457556974645
20.0,0.5062302846435512,0.003834251874394228,0.5046250136339056,0.004970091078219521,0.5106738203648387,0.5191387527792224,0.49940893920841306,0.5026498964502896,0.4992800144149925,0.5019144715447156,0.5238413402315841,0.495976590917793,0.49827171137085335,0.5031209541045815
40.0,0.507144821067568,0.003941955677060522,0.5020668205936429,0.005299071190914051,0.5143404290285472,0.5180129509488137,0.501383601110544,0.5049947895368624,0.4969923347130723,0.49430609756097565,0.522671199802907,0.49688600815560746,0.495023433551787,0.5014473638969378
60.0,0.5063520885584517,0.004114785374098599,0.50015921927414,0.005595077267928001,0.5207105749059868,0.5096597410418549,0.49987967802658834,0.5036690366579166,0.4978414121599121,0.4864471951219513,0.5198854890367084,0.49852664212964737,0.4936854158502803,0.5022513542321122
80.0,0.5092918610485195,0.004489489622703457,0.49866230429827657,0.005735292761274799,0.5264938468528562,0.5098940777847734,0.502824870500331,0.5042361197219327,0.5030103903827041,0.4830278861788618,0.5168928307464892,0.5009323907799517,0.49056831835686776,0.5018900954292127
100.0,0.511909437657281,0.0038952889506436482,0.49940582645982784,0.004553868796330723,0.525001914097619,0.5165535055462788,0.5042890352909551,0.5076408342017439,0.5060618991498083,0.4908572154471545,0.5138796747967479,0.5020732903855727,0.48847054658469025,0.5017484050849735
120.0,0.512582998161413,0.0033027323882860813,0.5008339255005353,0.0037737292889179876,0.5173359821350889,0.5216036912333208,0.5026611019642379,0.5126985450276353,0.508615670446782,0.49752367886178867,0.5124107415619611,0.500860562564613,0.48942609283156535,0.5039485516827487
140.0,0.511824351856846,0.0030080283084563705,0.5011864016550427,0.00466762495801255,0.5155664568893013,0.5192990884454299,0.5012979738742379,0.5116318379084277,0.5113264021668333,0.4971331300813008,0.5170101010101009,0.499371362522495,0.4885907438686574,0.5038266707926594
160.0,0.5118186189194714,0.0034755024966101646,0.501226821835727,0.005459853859276836,0.5181635683419854,0.5186099933389906,0.5004346687941936,0.5074731760081258,0.5144116881140618,0.4946775406504064,0.5215842325695983,0.4972497678715014,0.49019814877373147,0.5024244193133973
180.0,0.511527036973673,0.0042042540183381185,0.5003712875385071,0.0047138173402852465,0.5148391771313671,0.5235127851839686,0.49943452266996313,0.5050499017267079,0.5147987981563582,0.49767140243902447,0.5177127371273712,0.4969181232530535,0.48921508546719816,0.5003390894058883
