time_ms,CP_pre,CP_pre_sem,CP_post,CP_post_sem,monkey
10.0,0.4851612049873204,0.016826984456052404,0.47313346503070547,0.02426528847186301,LAV
30.0,0.4869582460376162,0.010775737297229946,0.48276426987908366,0.02170905504378315,LAV
50.0,0.4851105376866723,0.014993607091161367,0.48907518080933327,0.02314781103698041,LAV
70.0,0.4875142698999719,0.014156199696404095,0.4876056599126472,0.023274602146611784,LAV
90.0,0.5118858770076079,0.02955473654197044,0.4871460101818874,0.02368118486782517,LAV
110.0,0.5257893206008736,0.039560584817210594,0.48715388286740247,0.021957910664453153,LAV
130.0,0.5314761798393913,0.03773778663549173,0.49321979524073334,0.0212705555424703,LAV
150.0,0.5254836832030149,0.04144014959213713,0.5001504354084041,0.02127676565908621,LAV
170.0,0.5289552897647224,0.03802291987682177,0.49084734417124687,0.019003928922269885,LAV
190.0,0.5265151714391378,0.02571095823350545,0.4928757966234299,0.01911693827559209,LAV
210.0,0.5075136405677656,0.0032001513862252406,0.5008955513318384,0.015856457653296036,LAV
230.0,0.4790047659728092,0.014989156929065047,0.4945288100845681,0.014022927505111285,LAV
250.0,0.46015058863412234,0.017746265060804317,0.4798753228896803,0.025509627490023407,LAV
270.0,0.43913516546914627,0.013696118748800848,0.47741456020020817,0.024404986307452546,LAV
290.0,0.4479493138207946,0.00853175238294401,0.48293096325785223,0.020334454333704257,LAV
310.0,0.4606434725626937,0.0036062282101550604,0.48060961915168027,0.02103066246092402,LAV
330.0,0.4618603334742181,0.01348082870156305,0.485502699793343,0.02580058109385275,LAV
350.0,0.4671862092490843,0.015054560773231463,0.49527613937563214,0.030870624513019824,LAV
370.0,0.4730021960235278,0.012212147396156937,0.5067072765009013,0.03231199574264902,LAV
390.0,0.46629305734009585,0.008933536019467359,0.5193492561802167,0.028623997407089832,LAV
10.0,0.41581547979797984,0.013362702020202065,0.4733911644608598,0.037219936390684355,ARY
30.0,0.40205677456382005,0.030470663452709018,0.48577014465989543,0.0373490920283164,ARY
50.0,0.41562621212121215,0.0392428787878788,0.5059411210286926,0.023871511918197055,ARY
70.0,0.46673044077134995,0.016563774104683238,0.5237488293834,0.022842162716733335,ARY
90.0,0.5085741620752984,0.00439360651974291,0.5342951444889025,0.023462962278991806,ARY
110.0,0.5418708815426997,0.006362451790633549,0.5397684019014397,0.021176736773708182,ARY
130.0,0.552756349862259,0.014460316804407678,0.5459726986081186,0.01904950993468074,ARY
150.0,0.5630019628099174,0.021173037190082622,0.5517634554221812,0.0153660408330768,ARY
170.0,0.5859187258953167,0.04227294077134974,0.5468233453028282,0.012604964262508123,ARY
190.0,0.6064973209366391,0.07159434573002747,0.5404472952361409,0.009243946513457169,ARY
210.0,0.6088494375573921,0.08134778466483011,0.5284066345200233,0.007002140829656944,ARY
230.0,0.5848334917355373,0.05819150826446279,0.514049024315174,0.0006511295783317993,ARY
250.0,0.539634354912764,0.020612867309458216,0.5184444745391744,0.0060100160733217445,ARY
270.0,0.5196844995408632,0.0016622773186409368,0.5208329728805445,0.008573884614069216,ARY
290.0,0.5114410996326906,0.00768832185491275,0.5183199206593481,0.005436558257241541,ARY
310.0,0.5031136157024794,0.01983861570247941,0.5129323785096268,0.006979175814780691,ARY
330.0,0.4926432277318641,0.032815449954086334,0.5060920871379228,0.014143603843917635,ARY
350.0,0.49088788797061533,0.0208656657483931,0.48970854348346504,0.020681902807701432,ARY
370.0,0.4984664623507805,0.0011692401285583185,0.4648864539516432,0.01838544509421705,ARY
390.0,0.5008995684113866,0.0021893204775022823,0.4558839437775726,0.014552990663793978,ARY
0.0,0.48017955443203353,0.0037367637343590776,0.5041231836227491,0.009638908344009989,CLU
20.0,0.48477205833269554,0.0005597922429173285,0.506140679271095,0.014209140119486765,CLU
40.0,0.4887135527389288,0.002161601398442764,0.5052421356008042,0.018239854426896712,CLU
60.0,0.4937741955717608,0.0005574513857143915,0.5045306797520521,0.018089951826895156,CLU
80.0,0.49907544386860736,0.0016209928139832297,0.503398956830795,0.014387884166435048,CLU
100.0,0.4969958790050657,0.0007795458520099828,0.5034872731651262,0.01202052960495692,CLU
120.0,0.49691833827709664,0.00021421713053101918,0.5013298353855663,0.008819288160140243,CLU
140.0,0.501276256408069,0.0005999124383557207,0.4929294050545941,0.002088061981417033,CLU
160.0,0.49849908578531166,0.0034557109881240555,0.48562044247347164,0.0021725089554659456,CLU
180.0,0.4904861406945112,0.00809790921803738,0.4827792252199328,0.0029359099844757093,CLU
200.0,0.4886219643975898,0.007806907610137247,0.48177602768194494,0.0036984564908091877,CLU
220.0,0.48888958972502516,0.00624435446272123,0.4791436010438488,0.006691488024458209,CLU
240.0,0.48781489312659665,0.005243211136331666,0.48144627162207304,0.004142143090217043,CLU
260.0,0.4859891112346846,0.008380544441823705,0.4882786231749064,0.0025147374899134878,CLU
280.0,0.4888968366953368,0.004430335884087449,0.49357652885178405,0.007316475026332258,CLU
300.0,0.4957407219065046,0.00022466478900651232,0.4962292986004744,0.008169167881520112,CLU
320.0,0.5014490538138107,0.007056906164556009,0.4938877405307923,0.002779756422116225,CLU
340.0,0.504764563975566,0.004774776208317232,0.4910182151937442,0.0019500534208910234,CLU
360.0,0.501840223775235,0.0009309173821475668,0.4920550906808696,0.0016538674121715502,CLU
380.0,0.496844160817809,0.0017314728783824063,0.49479979310975997,0.0006557459484118067,CLU
400.0,0.49675232916252304,0.00018915271957531396,0.4950908908815879,0.004107371722290143,CLU
0.0,0.5219220074914994,0.026395348032593993,0.5000068026546917,0.0017049811459187475,YTU
20.0,0.5215707430213204,0.025483106700045062,0.4882725888710596,0.009807032940478608,YTU
40.0,0.5251668855519542,0.025262558902157246,0.48198640127337056,0.014818928303615541,YTU
60.0,0.5296779630425775,0.02462175716760241,0.48303374286002965,0.013963263188622713,YTU
80.0,0.5276162085389836,0.022723362134714625,0.4822852510699922,0.01285830500887771,YTU
100.0,0.5232281892981316,0.01914399931878211,0.48364833475126834,0.013267446828879169,YTU
120.0,0.5277799741756044,0.021593187617386878,0.4869557995265825,0.013187392052834642,YTU
140.0,0.529395611676381,0.02292340633026396,0.48976466809921865,0.011554717115500606,YTU
160.0,0.5240553055851714,0.01789956720657201,0.4933024761136706,0.008322244107906402,YTU
180.0,0.5152999172129263,0.013392291103182487,0.49757250246755685,0.0064139450936568174,YTU
200.0,0.5134876417243869,0.013180202214534335,0.5039369805467833,0.005074656971296685,YTU
220.0,0.512765435418189,0.015634541364132434,0.504905996054007,0.009620669920379861,YTU
240.0,0.5080280553641868,0.012283734474288733,0.5011449146563856,0.010831647678240098,YTU
260.0,0.5058987392637796,0.008659889248605855,0.49680936979542634,0.01464850795392186,YTU
280.0,0.5105413148510183,0.010836357261163108,0.4934627130120185,0.018554247866350633,YTU
300.0,0.5174935711061853,0.01564117518400922,0.4965673521484417,0.019782800937690716,YTU
320.0,0.5211417873207492,0.018225155733305097,0.4951439372281158,0.018588105082459006,YTU
340.0,0.5255089115170533,0.020258112702011385,0.4973660650927623,0.01710880329087031,YTU
360.0,0.5318163728540208,0.025729300309634603,0.5013319193506127,0.00990666476546008,YTU
380.0,0.53706201032137,0.03386171402792012,0.4986115145708788,0.007043308509626458,YTU
400.0,0.5397955311355611,0.04171093961221733,0.49298348749390614,0.008814401787423345,YTU
