figure_panel,frequency_band,aggregation_level,area,epoch,epoch_start_ms,epoch_end_ms,condition,mean_cp,sem_cp,source_monkeys,source_file,source_role
Fig3B,low_gamma,All,MT+V4,stimulus,50,250,pre,0.5246175762530422,0.0080478456943638,Monkey_Y;Monkey_C;Monkey_L;Monkey_A,legacy_grand_values_regenerated_into_canonical_summary,aggregation_panel_and_reported_text
Fig3B,low_gamma,All,MT+V4,stimulus,50,250,post,0.5168347646679672,0.0104193750201117,Monkey_Y;Monkey_C;Monkey_L;Monkey_A,legacy_grand_values_regenerated_into_canonical_summary,aggregation_panel_and_reported_text
Fig3B,low_gamma,All,MT+V4,delay,250,400,pre,0.5066154335872024,0.0076190651448128,Monkey_Y;Monkey_C;Monkey_L;Monkey_A,legacy_grand_values_regenerated_into_canonical_summary,aggregation_panel_and_reported_text
Fig3B,low_gamma,All,MT+V4,delay,250,400,post,0.5033916716572631,0.0070694155093532,Monkey_Y;Monkey_C;Monkey_L;Monkey_A,legacy_grand_values_regenerated_into_canonical_summary,aggregation_panel_and_reported_text
Fig3C,alpha_beta,MT,MT,baseline,-200,0,pre,0.5010507809617665,0.0120500082552589,Monkey_Y;Monkey_C,Fig3_main_epoch_summary_values.csv,area_epoch_summary_text
Fig3C,alpha_beta,MT,MT,baseline,-200,0,post,0.5020649931387204,0.001188297,Monkey_Y;Monkey_C,Fig3_main_epoch_summary_values.csv,area_epoch_summary_text
Fig3C,alpha_beta,MT,MT,stimulus,50,250,pre,0.5076843044448086,0.007764856,Monkey_Y;Monkey_C,Fig3_main_epoch_summary_values.csv,area_epoch_summary_text
Fig3C,alpha_beta,MT,MT,stimulus,50,250,post,0.492149619,0.00029182,Monkey_Y;Monkey_C,Fig3_main_epoch_summary_values.csv,area_epoch_summary_text
Fig3C,alpha_beta,MT,MT,delay,250,400,pre,0.5100959524844504,0.007829636,Monkey_Y;Monkey_C,Fig3_main_epoch_summary_values.csv,area_epoch_summary_text
Fig3C,alpha_beta,MT,MT,delay,250,400,post,0.494825783732255,0.000986554,Monkey_Y;Monkey_C,Fig3_main_epoch_summary_values.csv,area_epoch_summary_text
Fig3C,alpha_beta,V4,V4,baseline,-200,0,pre,0.47678486898622496,0.0193261777664423,Monkey_L;Monkey_A,Fig3_main_timecourse_values.csv,descriptive_area_epoch_from_trace
Fig3C,alpha_beta,V4,V4,baseline,-200,0,post,0.470634439507562,0.017379730122167612,Monkey_L;Monkey_A,Fig3_main_timecourse_values.csv,descriptive_area_epoch_from_trace
Fig3C,alpha_beta,V4,V4,stimulus,50,250,pre,0.5247133029471125,0.011639885,Monkey_L;Monkey_A,Fig3_main_epoch_summary_values.csv,area_epoch_summary_text
Fig3C,alpha_beta,V4,V4,stimulus,50,250,post,0.5115015551939658,0.0128298386963948,Monkey_L;Monkey_A,Fig3_main_epoch_summary_values.csv,area_epoch_summary_text
Fig3C,alpha_beta,V4,V4,delay,250,400,pre,0.4833119408016955,0.0150425745528737,Monkey_L;Monkey_A,Fig3_main_epoch_summary_values.csv,area_epoch_summary_text
Fig3C,alpha_beta,V4,V4,delay,250,400,post,0.4946729132680507,0.002349372,Monkey_L;Monkey_A,Fig3_main_epoch_summary_values.csv,area_epoch_summary_text
Fig3C,alpha_beta,All,MT+V4,baseline,-200,0,pre,0.4930257533204731,0.0098490619512694,Monkey_Y;Monkey_C;Monkey_L;Monkey_A,legacy_grand_values_regenerated_into_canonical_summary,aggregation_panel_and_reported_text
Fig3C,alpha_beta,All,MT+V4,baseline,-200,0,post,0.4841459061342323,0.0093316345816605,Monkey_Y;Monkey_C;Monkey_L;Monkey_A,legacy_grand_values_regenerated_into_canonical_summary,aggregation_panel_and_reported_text
Fig3C,alpha_beta,All,MT+V4,stimulus,50,250,pre,0.5155598687799364,0.0110669373060482,Monkey_Y;Monkey_C;Monkey_L;Monkey_A,legacy_grand_values_regenerated_into_canonical_summary,aggregation_panel_and_reported_text
Fig3C,alpha_beta,All,MT+V4,stimulus,50,250,post,0.4963217550101493,0.0085656140398169,Monkey_Y;Monkey_C;Monkey_L;Monkey_A,legacy_grand_values_regenerated_into_canonical_summary,aggregation_panel_and_reported_text
Fig3C,alpha_beta,All,MT+V4,delay,250,400,pre,0.4946827086940851,0.0107135501903635,Monkey_Y;Monkey_C;Monkey_L;Monkey_A,legacy_grand_values_regenerated_into_canonical_summary,aggregation_panel_and_reported_text
Fig3C,alpha_beta,All,MT+V4,delay,250,400,post,0.4933156824213712,0.0075552270495342,Monkey_Y;Monkey_C;Monkey_L;Monkey_A,legacy_grand_values_regenerated_into_canonical_summary,aggregation_panel_and_reported_text
