epoch,CP_pre,CP_pre_sem,CP_post,CP_post_sem
baseline,0.49476868797292867,0.004615505382019634,0.49364022456853435,0.004887159891366601
stimulus,0.5212336007398723,0.005630467871366469,0.5005052132112924,0.002348372559829812
delay,0.5062938587008461,0.007168131007564321,0.5034776202966875,0.0039638242430627794
