figure_panel,monkey_id,area,condition,n,mean_sensitivity,sem_sensitivity,mean_threshold,sem_threshold
Fig1G,Monkey_A,V4,post,3,0.0450361125151825,0.012448817796769323,28.105526925742666,10.687668549862263
Fig1G,Monkey_A,V4,pre,3,0.09001360540599523,0.02104257388059132,12.18957562277622,2.3104488434814376
Fig1G,Monkey_C,MT,post,3,0.010799272251852801,0.003966726398834221,155.28778613149754,86.55736064340793
Fig1G,Monkey_C,MT,pre,3,0.03416482846750787,0.014343995735494438,44.50977592089206,19.988423664297134
Fig1G,Monkey_L,V4,post,3,0.0446210615474004,0.013513687778806786,26.137454549728403,6.18459501807258
Fig1G,Monkey_L,V4,pre,3,0.09561905667127917,0.013508654896922148,10.83824524925498,1.3457406758169186
Fig1G,Monkey_Y,MT,post,5,0.01430823809214434,0.0027383985896846713,84.21559377528054,20.393409617822307
Fig1G,Monkey_Y,MT,pre,5,0.03372226140928558,0.0025936576401952775,30.29094353940038,2.0811164588180486
