time_ms,CP_pre,CP_pre_sem,CP_post,CP_post_sem,CP_pre_s1,CP_pre_s2,CP_pre_s3,CP_pre_s4,CP_pre_s5,CP_post_s1,CP_post_s2,CP_post_s3,CP_post_s4,CP_post_s5
-200.0,0.4930099506345826,0.005819280262032257,0.4875520861298101,0.005607649952399078,0.48677073170731705,0.5100730210148083,0.4763234232934046,0.49086297425474246,0.5010196029026406,0.47002048780487804,0.4786847521027644,0.49639954268292674,0.4940230932010767,0.49863255485740443
-180.0,0.48715546847266233,0.008417602417979921,0.4829302913162893,0.009153160732152525,0.46083414634146336,0.5082445013066201,0.4764208399480445,0.4908460365853658,0.4994318181818182,0.4513338536585366,0.4729679354569565,0.4978032012195121,0.49688641324701954,0.49566005299942195
-160.0,0.48485632824755565,0.011886652784817436,0.47966467213355024,0.009270462991139624,0.4444829268292683,0.5097708650914634,0.472099148506278,0.5016370257452574,0.49629167506551103,0.4474146341463416,0.47021160088925784,0.4937969512195122,0.4956418360120813,0.49125833840055844
-140.0,0.48679199368215453,0.012621389622452848,0.47526297676970675,0.005201095887989194,0.43905853658536576,0.5064598758710801,0.48866070139991347,0.5092191734417345,0.49056168111267884,0.4664448780487806,0.4641084096634398,0.470527743902439,0.4899814743915366,0.485252377842338
-120.0,0.48723177055647493,0.013240043096315863,0.47548308891033153,0.007675038627336773,0.43593658536585367,0.5048934968423345,0.4935214316640208,0.5095477642276424,0.4922595746825237,0.477293268292683,0.4524664463898299,0.4659349085365855,0.49722397802617607,0.4844968433063832
-100.0,0.48646654680269846,0.011529139597683629,0.48776327154925536,0.01266420229283731,0.44240609756097565,0.5029978767421602,0.49386022514071304,0.5061890243902439,0.48687951017939934,0.503137756097561,0.44530907928786445,0.47343506097560983,0.5157576940497013,0.5011767673355403
-80.0,0.48779821267599494,0.006451128865527893,0.49402909310777526,0.016494767759775448,0.4645609756097561,0.5040940766550523,0.4895645114735171,0.4881156842818429,0.4926558153598064,0.5172185365853659,0.43943965605069574,0.47190792682926835,0.5218353948390206,0.5197439512345261
-60.0,0.48295812967382734,0.010758442806260284,0.5015872276606627,0.018281352744340305,0.5024634146341465,0.49992262358449485,0.46835798816568036,0.4475863821138211,0.49646023987099375,0.5283090731707316,0.4421017884891948,0.47567530487804877,0.5353265086359696,0.5265234631293682
-40.0,0.48335727682992413,0.017426376159387948,0.5060266429228053,0.019141202965837042,0.5243317073170731,0.5033040478005227,0.4658464424880936,0.4245850271002709,0.4987191594436606,0.5359149268292683,0.4381009863125936,0.4902867378048781,0.540876634127991,0.5249539295392954
-20.0,0.49363008861529467,0.014863161306033509,0.5090192946239271,0.015957161293621527,0.5342987804878048,0.5076139890026132,0.4773066099004184,0.44646764905149056,0.5024634146341465,0.5263533658536586,0.44741865360877586,0.5093981707317072,0.5351045516610906,0.5268217312644039
0.0,0.5139033970634219,0.014284579702186412,0.512116586589882,0.014175003114062862,0.5508963414634145,0.5114953996080139,0.46767931880502234,0.5355707994579945,0.5038751259826647,0.5200351219512196,0.4611079259981361,0.504500457317073,0.539756639733218,0.535182787949763
