figure_panel,unit_id,stimulus_id,pre_firing_rate_hz,post_firing_rate_hz,delta_post_minus_pre_hz
FigS8,saline_unit_01,image_001,16.1382452258098,11.8090789803652,-4.32916624544455
FigS8,saline_unit_01,image_002,3.05000993169214,16.2257456470319,13.1757357153398
FigS8,saline_unit_01,image_004,15.5500099316921,12.3715789803652,-3.17843095132691
FigS8,saline_unit_01,image_006,12.0500099316921,10.2257456470319,-1.82426428466024
FigS8,saline_unit_01,image_007,1.18075929907708,5.27336469465095,4.09260539557387
FigS8,saline_unit_01,image_008,6.67904218975666,6.78130120258746,0.102259012830794
FigS8,saline_unit_01,image_009,3.84269285852141,5.98765040893667,2.14495755041526
FigS8,saline_unit_01,image_010,9.68794096617491,11.4011842435231,1.71324327734822
FigS8,saline_unit_01,image_011,15.5500099316921,5.58849074507112,-9.96151918662103
FigS8,saline_unit_01,image_012,8.55000993169214,3.40523282651908,-5.14477710517306
FigS8,saline_unit_01,image_013,6.04089915921695,5.00352342480968,-1.03737573440727
FigS8,saline_unit_01,image_014,3.05000993169214,6.35395077523703,3.30394084354489
