time_ms,CP_pre,CP_pre_sem,CP_post,CP_post_sem,CP_pre_s1,CP_pre_s2,CP_pre_s3,CP_pre_s4,CP_pre_s5,CP_post_s1,CP_post_s2,CP_post_s3,CP_post_s4,CP_post_s5
-200.0,0.500221796823695,0.005077755518169267,0.5044813451222916,0.0068608985119055855,0.500036541863635,0.508620349839862,0.5109106352653249,0.49949441359205365,0.48204704355759986,0.5168185772357723,0.482911456023651,0.5196708800781099,0.4953585190189852,0.5076472932549394
-180.0,0.4971994999858687,0.006442253409248805,0.5032024408660916,0.0077656213131538174,0.5006643272140213,0.5065108477122929,0.5139341409497137,0.48525958659262086,0.4796285974606947,0.5159254471544716,0.47694545454545445,0.5184444997511198,0.49456977231268157,0.5101270305667301
-160.0,0.49754215690637704,0.00843549075392747,0.507724657362656,0.009459628320661606,0.5082221513297178,0.5086634791151502,0.5163871213760994,0.47576794312021004,0.4786700895907073,0.5324960975609757,0.4763660014781965,0.5177789849523299,0.49944885886088775,0.5125333439608906
-140.0,0.4971637617165781,0.009418538276389653,0.5128147944334533,0.00829508775003021,0.5079397929294392,0.5156948588565571,0.513245122224714,0.4708649896450289,0.4780740449271515,0.5394571138211383,0.488730820399113,0.5162667276103686,0.5045020633740963,0.5151172469625503
-120.0,0.49784902953014853,0.010899314273049373,0.5145993867528142,0.005211918732656161,0.5083468963583809,0.526113650811031,0.509436765325267,0.4669748446754343,0.47837299048062915,0.533359512195122,0.5039353535353536,0.5134207125626985,0.5060268035943517,0.5162545518765453
-100.0,0.4975282771981823,0.013227505433704587,0.5115387275462338,0.005462499564068574,0.5076984426205736,0.5330305159392784,0.5095789824908789,0.45593293672255275,0.4814005082176281,0.5314196341463415,0.4988294653855629,0.5089327114523107,0.5058803810553341,0.5126314456916194
-80.0,0.49798483783386105,0.013397986382209522,0.511091808009781,0.0073001276796420015,0.5119841458581054,0.5327509360391023,0.5080400364763588,0.45526251500481474,0.48188655579092404,0.537771056910569,0.49320325203252025,0.5067642005207336,0.50722216066482,0.5104983699202621
-60.0,0.4999984268079505,0.011566644719031561,0.5108508504478064,0.006689103449624241,0.5206910665777288,0.528678778145806,0.5012658109152456,0.4662768272896359,0.483079651111336,0.5371308943089431,0.5001314609509733,0.5032815790481296,0.5066194554421998,0.5070908624887864
-40.0,0.5022227070004108,0.009000630952657577,0.5076813927846393,0.0041335501779332555,0.5139425964057501,0.5300821828644774,0.4998847415828146,0.48162793335883597,0.48557608079017595,0.5236171951219512,0.5069319536831731,0.5000063177240878,0.504145730693872,0.5037057667001122
-20.0,0.5038505628331904,0.0070280180538698995,0.501477634247664,0.003032866181051466,0.5052677126533454,0.5269185379844818,0.5075040184163416,0.4944973815773853,0.4850651635343983,0.5131980894308943,0.4973563932002956,0.4981720478998354,0.4971551219512196,0.5015065187560757
0.0,0.5037418568807723,0.006602275616411172,0.5000094895561691,0.0023042262171213703,0.50554046189689,0.5203868251926066,0.5110785452903066,0.5009851600733423,0.48071829195071664,0.5063313821138211,0.49820113328406,0.5007761946241912,0.4924487804878049,0.5022899572709683
20.0,0.5045883932386263,0.006597072037708947,0.5013256855528068,0.004113608298011956,0.5114835029919859,0.5148591911283872,0.5103515498936106,0.5076378266432745,0.47860989553587296,0.49958382113821137,0.5130761271249076,0.5040227150897882,0.48757902303898387,0.5023667413721429
40.0,0.5125440281423917,0.007893663971709899,0.5038629002461888,0.006051845433538065,0.5365908761346828,0.5093058559092886,0.515066377127104,0.5146431690168713,0.4871138625240118,0.5086584146341464,0.519320029563932,0.5051433931921737,0.48220828322410647,0.5039843806165859
60.0,0.5216547686316193,0.008880029494383077,0.5120875457038803,0.009481510095568428,0.5493683091170983,0.5217102977988254,0.5278411668684013,0.5145334195148332,0.4948206498589381,0.5360574390243903,0.5297986696230599,0.502859607726768,0.48365475846226597,0.5080672536829175
80.0,0.5234054441843391,0.009279403808562394,0.5210246013982616,0.01348454728584613,0.5447257136780643,0.5390422137666943,0.5293303525032175,0.5078189133216373,0.49611002765208156,0.5483155284552845,0.5565146095097314,0.501465735919133,0.4868496885345584,0.5119774445726003
100.0,0.5221224459651912,0.010204142770430032,0.5239850634138679,0.015542688486120903,0.5366974469031253,0.5499393513575987,0.5258242148948258,0.5022586236462689,0.49589259302413685,0.5491210162601626,0.5706422271495443,0.5021528841367692,0.4867958975744882,0.5112132919483751
120.0,0.5233655324472888,0.009845869113128706,0.5241464521260005,0.015023333503953908,0.5416814864224743,0.549387704202519,0.5216161808752294,0.5049201018348745,0.4992221889013471,0.5506687398373984,0.5666041882237004,0.506332178274687,0.48475045740152695,0.5123766968926898
140.0,0.5243288750310832,0.009054034373740314,0.5250285862739811,0.014282622452163315,0.5436082673549684,0.546817801623583,0.5213135552494154,0.5059707950243375,0.5039339559031115,0.5573911382113822,0.5591659029317567,0.5065644982195505,0.4873627241402607,0.5146586678669555
160.0,0.5227706704795242,0.008701982388554689,0.5259060646845812,0.014587136226497554,0.5336934156975339,0.5489093889816564,0.5233758291768673,0.5049855821868117,0.5028891363547514,0.5586677642276422,0.5613863513180586,0.503667438832944,0.4892882156611039,0.5165205533831578
180.0,0.5198513076952666,0.009679570589976092,0.5253572974105702,0.015501968809543536,0.5218845161103217,0.5541553748870822,0.5206787040734278,0.5021876030550462,0.5003503403504549,0.5539124796747967,0.5687087459965509,0.5015899366313129,0.4873612107290047,0.5152141140211863
