time_ms,CP_pre,CP_pre_sem,CP_post,CP_post_sem,CP_pre_s1,CP_pre_s2,CP_pre_s3,CP_pre_s4,CP_pre_s5,CP_pre_s6,CP_post_s1,CP_post_s2,CP_post_s3,CP_post_s4,CP_post_s5,CP_post_s6
-200.0,0.49758006945113936,0.010379769998285292,0.50820854732388,0.007450006450683085,0.5403313198573126,0.4952728270357899,0.5085896261173228,0.482027584125547,0.4656355651703623,0.49362349440050124,0.4997462666666666,0.5369884444444444,0.5112345368916797,0.49255783475783477,0.5198781163434903,0.48884608483916436
-180.0,0.49685416928059417,0.012777338395981953,0.5059622402547488,0.008302255130770176,0.5454858818866428,0.505049407656815,0.5061954954666325,0.4797780594537498,0.4513112817739318,0.49330488944579315,0.4940234666666666,0.5376032323232323,0.5109223704866563,0.4859284023668639,0.5192599578947368,0.48803601179033707
-160.0,0.499878281955515,0.012949977630194722,0.5031995821982801,0.00739296935460952,0.5511842092746729,0.5132392068836513,0.5055842629673534,0.48485649615210497,0.45753709031909146,0.48686842613621534,0.49907753333333327,0.529253494949495,0.5081723312401885,0.4811096866096866,0.5152766936288088,0.4863077534281686
-140.0,0.49942400604639486,0.010135851288803007,0.5005961931911127,0.00570086881522972,0.5397210305192232,0.5103660805586732,0.5045719155480087,0.48649144409234935,0.46768207679826934,0.4877114887618451,0.49925660000000005,0.5121868282828281,0.5047590659340659,0.4823756519833442,0.5180284631578947,0.4869705497885428
-120.0,0.4944097532013502,0.008096403840677667,0.50246479133402,0.004946415260223331,0.5215234879112168,0.507905474498067,0.49984696120206323,0.4800392937980987,0.46609168199026507,0.4910516198083901,0.5086985333333333,0.5087935353535353,0.5054257064364207,0.4880074512382205,0.5167092476454294,0.48715427399718036
-100.0,0.49252883713943224,0.008967663303472307,0.5072119249772661,0.007098391523790216,0.5171297027348395,0.5186255642848236,0.49406234581744785,0.4719406066093255,0.466720778799351,0.48669402459080585,0.5332108666666666,0.5107096565656566,0.5069324175824174,0.48920927021696253,0.5163759157894737,0.48683342304241944
-80.0,0.49655150398938025,0.011218004928724486,0.5105465262534733,0.009870719429032592,0.5263262148236226,0.5343814939518642,0.49134091564412263,0.4663642070318394,0.47989815035154143,0.48099804213329145,0.553473,0.5085129696969696,0.5068540031397174,0.4885951128643436,0.5181593351800554,0.4876847366397539
-60.0,0.5030677267357572,0.014014446499162923,0.5085683515331462,0.008508410187066101,0.539140578676179,0.5522214241177203,0.4921367378976709,0.46654890599064425,0.4861983775013522,0.48216033623097615,0.5468396666666667,0.500325494949495,0.506514246467818,0.4935949813719045,0.5148392952908587,0.4892964244521337
-40.0,0.506365218472478,0.016462369995346216,0.5061880857912291,0.005814694626633247,0.5552995640110979,0.5592838508542212,0.4933876013199628,0.46766301493888635,0.47899993510005406,0.4835573446106456,0.5314076666666667,0.4970731313131312,0.5082180141287282,0.4998621301775148,0.5098061473684209,0.49076142509291293
-20.0,0.5067393678371396,0.01859769028530358,0.5054298808880892,0.004038048752959483,0.5690870233848594,0.5582995884773662,0.4953972255150097,0.4637031537649011,0.4707338453217955,0.4832153705589057,0.5201631999999999,0.5020896969696969,0.5079155416012558,0.4991368178829717,0.5112908941828254,0.49198313469178523
