figure_panel,old_figure_panel,monkey_id,area,condition,previous_trial_outcome,frequency_band,epoch_start_ms,epoch_end_ms,frequency_min_hz,frequency_max_hz,matrix_row_zero_based,matrix_column_zero_based,matrix_row_one_based,matrix_column_one_based,cp
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,1,21,2,22,0.484398380529414
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,1,22,2,23,0.483111364038419
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,1,23,2,24,0.484460696031664
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,1,24,2,25,0.482990707656486
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,1,25,2,26,0.478821050466727
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,1,26,2,27,0.477752320969798
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,1,27,2,28,0.483226291234836
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,1,28,2,29,0.489844266403502
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,4,3,5,0.50328389540493
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,5,3,6,0.499362625115641
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,6,3,7,0.498168270069376
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,7,3,8,0.500104734033107
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,8,3,9,0.504786975063418
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,9,3,10,0.514570446482708
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,10,3,11,0.520149603172325
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,11,3,12,0.51966281184553
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,12,3,13,0.516414078281491
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,13,3,14,0.509016829423916
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,14,3,15,0.503599241901978
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,15,3,16,0.500340922585854
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,16,3,17,0.502958661997386
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,17,3,18,0.506049931362877
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,18,3,19,0.509007284982041
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,19,3,20,0.503811643492448
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,20,3,21,0.495144438984223
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,21,3,22,0.489105583452472
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,22,3,23,0.488093414751902
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,23,3,24,0.485694944010755
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,24,3,25,0.483169937441741
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,25,3,26,0.481907593450705
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,26,3,27,0.482183164416574
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,27,3,28,0.482150410726818
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,2,28,3,29,0.485193873057851
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,4,4,5,0.501371157653333
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,5,4,6,0.496077309114054
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,6,4,7,0.49281358092291
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,7,4,8,0.493340870074183
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,8,4,9,0.499928423756575
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,9,4,10,0.51033688741472
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,10,4,11,0.519928799623995
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,11,4,12,0.523476259440985
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,12,4,13,0.521143021028566
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,13,4,14,0.517699143770467
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,14,4,15,0.51363392822683
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,15,4,16,0.514752595052841
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,16,4,17,0.515803612463058
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,17,4,18,0.517518976749188
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,18,4,19,0.516897679263857
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,19,4,20,0.511370825380288
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,20,4,21,0.50106669890308
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,21,4,22,0.491843103687313
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,22,4,23,0.486813860416511
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,23,4,24,0.486774704560766
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,24,4,25,0.486416227149407
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,25,4,26,0.488860950191152
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,26,4,27,0.490097600696107
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,27,4,28,0.490144648556821
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,3,28,4,29,0.489572476775319
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,4,5,5,0.504883460887776
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,5,5,6,0.500107072644205
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,6,5,7,0.492848730168329
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,7,5,8,0.490059168036951
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,8,5,9,0.489868913482323
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,9,5,10,0.494081966670806
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,10,5,11,0.503314754964776
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,11,5,12,0.51171609489653
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,12,5,13,0.515500347930545
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,13,5,14,0.517514082714672
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,14,5,15,0.517508015662838
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,15,5,16,0.516933022310503
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,16,5,17,0.516626072675782
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,17,5,18,0.516974806646872
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,18,5,19,0.515405875413736
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,19,5,20,0.513386501548806
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,20,5,21,0.510620838534989
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,21,5,22,0.504035022541987
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,22,5,23,0.498068317130761
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,23,5,24,0.491200944702143
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,24,5,25,0.491050445514917
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,25,5,26,0.494670298134009
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,26,5,27,0.50330854587645
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,27,5,28,0.507812199622525
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,4,28,5,29,0.512961284437883
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,5,4,6,5,0.506698292009874
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,5,5,6,6,0.503317734833599
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,5,6,6,7,0.497755587943577
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,5,7,6,8,0.490961008918708
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,5,8,6,9,0.486794368317661
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,5,9,6,10,0.489973309585114
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,5,10,6,11,0.497251850320198
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,5,11,6,12,0.507561968710856
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,5,12,6,13,0.510762852605737
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,5,13,6,14,0.509900922783527
