figure_panel,frequency_band,area,time_ms,condition,mean_cp,sem_cp,source_monkeys,source_role
Fig3A,high_gamma,MT,220.0,post,0.4989681686781436,0.0021070198542244,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,220.0,pre,0.5064701201413463,0.0045995785184643,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,240.0,post,0.4979791765947583,0.0014896252210611,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,240.0,pre,0.5058993061617111,0.0038487202306058,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,260.0,post,0.4989534646299689,0.0020028743069727,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,260.0,pre,0.5080914812673759,0.0052849601785149,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,280.0,post,0.4997020962972808,0.002891594345855,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,280.0,pre,0.5074354763750977,0.0054736006909223,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,300.0,post,0.4990614050842419,0.0029970093223327,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,300.0,pre,0.5044554252993244,0.0046909506691884,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,320.0,post,0.4987532017107766,0.0034614477567833,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,320.0,pre,0.4989380018685415,0.00585029789579,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,340.0,post,0.499274916669785,0.0047361912162051,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,340.0,pre,0.4943871732156026,0.0058852429885649,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,360.0,post,0.499394511498595,0.0044205160676758,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,360.0,pre,0.4854861419148871,0.0067742381497457,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,380.0,post,0.4987159357285041,0.004090767237072,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,380.0,pre,0.4769857187762907,0.0096260204380924,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,400.0,post,0.5006830633855921,0.0041304806746228,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,MT,400.0,pre,0.474052755358294,0.0120280700924731,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3A,high_gamma,V4,-200.0,post,0.4875520861298101,0.005607649952399,Monkey_L;Monkey_A,area_timecourse_panel
