figure_panel,area,condition,n,mean_accuracy,sem_accuracy,mean_auc,sem_auc
FigS5A,MT,post,7,0.5193583176715839,0.026827960274183486,0.5224042966603772,0.027695592736886283
FigS5A,MT,pre,7,0.5657701836196851,0.028524209117609528,0.5733536652043993,0.03814318768349853
FigS5B,V4,post,6,0.6160799349303652,0.03918929528216255,0.6021275119775659,0.07424518339991992
FigS5B,V4,pre,6,0.6263898860850081,0.05280548909110236,0.646408938530909,0.06349233893598924
