Fig3_main_trace_source_values.number,,,,,,,,
Fig3_main_trace_source_values,,,,,,,,
figure_panel,frequency_band,aggregation_level,area,time_ms,condition,mean_cp,sem_cp,source_monkeys
Fig3A,high_gamma,V4,V4,210,post,0.497743324,0.010502846,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,230,pre,0.507997506,0.003288042,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,230,post,0.504664737,0.003385822,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,250,pre,0.508175628,0.000825556,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,250,post,0.514915125,0.001323854,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,270,pre,0.50707633,0.002900476,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,270,post,0.519430327,0.003796114,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,290,pre,0.510831423,0.006637406,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,290,post,0.513874751,0.003463107,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,310,pre,0.513677663,0.01162394,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,310,post,0.510653156,0.004970778,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,330,pre,0.511183985,0.014305823,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,330,post,0.504233943,0.002273892,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,350,pre,0.514319936,0.013922576,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,350,post,0.499638716,0.001878373,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,370,pre,0.521588703,0.010764961,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,370,post,0.49873525,0.007195864,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,390,pre,0.521086637,0.005313969,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,390,post,0.50067065,0.008373407,Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,0,pre,0.504222799,0.00085371,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,0,post,0.505920142,0.001177519,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,10,pre,0.479739746,0.008089044,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,10,post,0.510508083,0.010020804,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,20,pre,0.50535273,0.001962272,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,20,post,0.503970233,0.001464133,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,30,pre,0.490435996,0.007142209,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,30,post,0.512676602,0.008177989,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
